code,x,y,pattern,iteration
00001001,00000010,-1.9375,3.71875,0,2
00001001,00000011,-1.90625,3.71875,0,2
00001010,00000001,-1.96875,3.6875,0,2
00001011,00000000,-2,3.65625,0,2
00001011,00000001,-1.96875,3.65625,0,2
00001010,00000011,-1.90625,3.6875,0,2
00001011,00000010,-1.9375,3.65625,0,2
00001011,00000011,-1.90625,3.65625,0,2
0000100,0000011,-1.8125,3.75,0,2
0000101,0000010,-1.875,3.6875,0,2
0000101,0000011,-1.8125,3.6875,0,2
00001000,00000101,-1.84375,3.75,0,2
00001001,00000100,-1.875,3.71875,0,2
00001001,00000101,-1.84375,3.71875,0,2
00001000,00000111,-1.78125,3.75,0,2
00001001,00000110,-1.8125,3.71875,0,2
00001001,00000111,-1.78125,3.71875,0,2
00001010,00000101,-1.84375,3.6875,0,2
00001011,00000100,-1.875,3.65625,0,2
00001011,00000101,-1.84375,3.65625,0,2
00001010,00000111,-1.78125,3.6875,0,2
00001011,00000110,-1.8125,3.65625,0,2
00001011,00000111,-1.78125,3.65625,0,2
0000110,0000001,-1.9375,3.625,0,2
0000111,0000000,-2,3.5625,0,2
0000111,0000001,-1.9375,3.5625,0,2
00001100,00000001,-1.96875,3.625,0,2
00001101,00000000,-2,3.59375,0,2
00001101,00000001,-1.96875,3.59375,0,2
00001100,00000011,-1.90625,3.625,0,2
00001101,00000010,-1.9375,3.59375,0,2
00001101,00000011,-1.90625,3.59375,0,2
00001110,00000001,-1.96875,3.5625,0,2
00001111,00000000,-2,3.53125,0,2
00001111,00000001,-1.96875,3.53125,0,2
00001110,00000011,-1.90625,3.5625,0,2
00001111,00000010,-1.9375,3.53125,0,2
00001111,00000011,-1.90625,3.53125,0,2
0000110,0000011,-1.8125,3.625,0,2
0000111,0000010,-1.875,3.5625,0,2
0000111,0000011,-1.8125,3.5625,0,2
00001100,00000101,-1.84375,3.625,0,2
00001101,00000100,-1.875,3.59375,0,2
00001101,00000101,-1.84375,3.59375,0,2
00001100,00000111,-1.78125,3.625,0,2
00001101,00000110,-1.8125,3.59375,0,2
00001101,00000111,-1.78125,3.59375,0,2
00001110,00000101,-1.84375,3.5625,0,2
00001111,00000100,-1.875,3.53125,0,2
00001111,00000101,-1.84375,3.53125,0,2
00001110,00000111,-1.78125,3.5625,0,2
00001111,00000110,-1.8125,3.53125,0,2
00001111,00000111,-1.78125,3.53125,0,2
000010,000011,-1.625,3.75,0,2
000011,000010,-1.75,3.625,0,2
000011,000011,-1.625,3.625,0,2
0000100,0000101,-1.6875,3.75,0,2
0000101,0000100,-1.75,3.6875,0,2
0000101,0000101,-1.6875,3.6875,0,2
00001000,00001001,-1.71875,3.75,0,2
00001001,00001000,-1.75,3.71875,0,2
00001001,00001001,-1.71875,3.71875,0,2
00001000,00001011,-1.65625,3.75,0,2
00001001,00001010,-1.6875,3.71875,0,2
00001001,00001011,-1.65625,3.71875,0,2
00001010,00001001,-1.71875,3.6875,0,2
00001011,00001000,-1.75,3.65625,0,2
00001011,00001001,-1.71875,3.65625,0,2
00001010,00001011,-1.65625,3.6875,0,2
00001011,00001010,-1.6875,3.65625,0,2
00001011,00001011,-1.65625,3.65625,0,2
0000100,0000111,-1.5625,3.75,0,2
0000101,0000110,-1.625,3.6875,0,2
0000101,0000111,-1.5625,3.6875,0,2
00001000,00001101,-1.59375,3.75,0,2
00001001,00001100,-1.625,3.71875,0,2
00001001,00001101,-1.59375,3.71875,0,2
00001000,00001111,-1.53125,3.75,0,2
00001001,00001110,-1.5625,3.71875,0,2
00001001,00001111,-1.53125,3.71875,0,2
00001010,00001101,-1.59375,3.6875,0,2
00001011,00001100,-1.625,3.65625,0,2
00001011,00001101,-1.59375,3.65625,0,2
00001010,00001111,-1.53125,3.6875,0,2
00001011,00001110,-1.5625,3.65625,0,2
00001011,00001111,-1.53125,3.65625,0,2
0000110,0000101,-1.6875,3.625,0,2
0000111,0000100,-1.75,3.5625,0,2
0000111,0000101,-1.6875,3.5625,0,2
00001100,00001001,-1.71875,3.625,0,2
00001101,00001000,-1.75,3.59375,0,2
00001101,00001001,-1.71875,3.59375,0,2
00001100,00001011,-1.65625,3.625,0,2
00001101,00001010,-1.6875,3.59375,0,2
00001101,00001011,-1.65625,3.59375,0,2
00001110,00001001,-1.71875,3.5625,0,2
00001111,00001000,-1.75,3.53125,0,2
00001111,00001001,-1.71875,3.53125,0,2
00001110,00001011,-1.65625,3.5625,0,2
00001111,00001010,-1.6875,3.53125,0,2
00001111,00001011,-1.65625,3.53125,0,2
0000110,0000111,-1.5625,3.625,0,2
0000111,0000110,-1.625,3.5625,0,2
0000111,0000111,-1.5625,3.5625,0,2
00001100,00001101,-1.59375,3.625,0,2
00001101,00001100,-1.625,3.59375,0,2
00001101,00001101,-1.59375,3.59375,0,2
00001100,00001111,-1.53125,3.625,0,2
00001101,00001110,-1.5625,3.59375,0,2
00001101,00001111,-1.53125,3.59375,0,2
00001110,00001101,-1.59375,3.5625,0,2
00001111,00001100,-1.625,3.53125,0,2
00001111,00001101,-1.59375,3.53125,0,2
00001110,00001111,-1.53125,3.5625,0,2
00001111,00001110,-1.5625,3.53125,0,2
00001111,00001111,-1.53125,3.53125,0,2
00000,00011,-1.25,4,0,2
00001,00010,-1.5,3.75,0,2
00001,00011,-1.25,3.75,0,2
000000,000101,-1.375,4,0,2
000001,000100,-1.5,3.875,0,2
000001,000101,-1.375,3.875,0,2
0000000,0001001,-1.4375,4,0,2
0000001,0001000,-1.5,3.9375,0,2
0000001,0001001,-1.4375,3.9375,0,2
00000000,00010001,-1.46875,4,0,2
00000001,00010000,-1.5,3.96875,0,2
00000001,00010001,-1.46875,3.96875,0,2
00000000,00010011,-1.40625,4,0,2
00000001,00010010,-1.4375,3.96875,0,2
00000001,00010011,-1.40625,3.96875,0,2
00000010,00010001,-1.46875,3.9375,0,2
00000011,00010000,-1.5,3.90625,0,2
00000011,00010001,-1.46875,3.90625,0,2
00000010,00010011,-1.40625,3.9375,0,2
00000011,00010010,-1.4375,3.90625,0,2
00000011,00010011,-1.40625,3.90625,0,2
0000000,0001011,-1.3125,4,0,2
0000001,0001010,-1.375,3.9375,0,2
0000001,0001011,-1.3125,3.9375,0,2
00000000,00010101,-1.34375,4,0,2
00000001,00010100,-1.375,3.96875,0,2
00000001,00010101,-1.34375,3.96875,0,2
00000000,00010111,-1.28125,4,0,2
00000001,00010110,-1.3125,3.96875,0,2
00000001,00010111,-1.28125,3.96875,0,2
00000010,00010101,-1.34375,3.9375,0,2
00000011,00010100,-1.375,3.90625,0,2
00000011,00010101,-1.34375,3.90625,0,2
00000010,00010111,-1.28125,3.9375,0,2
00000011,00010110,-1.3125,3.90625,0,2
00000011,00010111,-1.28125,3.90625,0,2
0000010,0001001,-1.4375,3.875,0,2
